Manager;Style;Liquidity;Notice;Lock-Up;Management;Incentive;Assets;Launched;Internal Rating;Commentary
Vantage Asset Management;CTA;daily;;0 mo;200 bps;20%;;01 Jan 2021;A;Key-person risk on founder.
Juniper Fund;CTA;annual;180 days;36 mo;200 bps;17.5%;$12B;July 01, 2024;C;Key-person risk on founder.
Xenon Fund;Relative Value;monthly;60 days;12 mo;175 bps;10%;$3.5B;01/01/2024;C;AUM withheld pending NDA.
Beacon Advisors;Fixed Income;weekly;120 days;36 mo;125 bps;10%;$150M;01-Jul-2024;A;New PM hired 2023.
Tideline Credit Opportunities;Other;quarterly;60 days;0 mo;50 bps;0%;$12B;01 Jan 2018;B;"Uses ""soft"" gates in stress."
Halcyon Associates;Market Neutral;quarterly;180 days;24 mo;;;;July 01, 2024;B;
Westfield Holdings;Multi-Strat;quarterly;180 days;0 mo;250 bps;15%;$1.2B;01/01/2023;C;Short track record.
Westfield Holdings;Credit;monthly;15 days;0 mo;150 bps;0%;$20B;01-Jan-2015;C;"Uses ""soft"" gates in stress."
Tideline Group;Market Neutral;quarterly;5 days;24 mo;175 bps;30%;$85M;01 Jan 2024;C;Key-person risk on founder.
Fjord Management;Market Neutral;monthly;45 days;12 mo;250 bps;17.5%;$85M;July 01, 2023;C;Illiquid underlying positions.
Zürich Macro Partners;L/S Equity;weekly;15 days;0 mo;100 bps;15%;$1.2B;01/01/2015;C;AUM withheld pending NDA.
Crédit Alpha;Multi-Strat;quarterly;30 days;6 mo;175 bps;10%;;01-Jan-2020;A;Concentrated book — top 5 = 60%.
São Paulo Capital;Other;annual;45 days;0 mo;100 bps;10%;$150M;01 Jul 2023;C;
Müller Global;Credit;daily;;36 mo;100 bps;20%;$150M;January 01, 2018;C;
Ardent Investments;L/S Equity;weekly;0 days;0 mo;100 bps;10%;$25M;01/01/2015;B;Concentrated book — top 5 = 60%.
Northgate Associates;Multi-Strat;annual;90 days;36 mo;100 bps;15%;$5M;01-Jul-2024;A;Concentrated book — top 5 = 60%.
Drawbridge Credit Opportunities;Other;annual;15 days;12 mo;150 bps;15%;$85M;01 Jul 2024;A;
Xenon Investments;Fixed Income;daily;90 days;12 mo;150 bps;30%;$450M;January 01, 2020;B;
Pinnacle Associates;Event-Driven;weekly;5 days;0 mo;200 bps;0%;$150M;01/01/2022;A;AUM withheld pending NDA.
Delta Holdings;Macro;annual;45 days;36 mo;150 bps;17.5%;$1.2B;01-Jul-2023;A;Key-person risk on founder.
Quartz Fund;Macro;annual;90 days;6 mo;250 bps;30%;$25M;01 Jan 2022;B;Short track record.
Riverstone Investments;Relative Value;semi annual;45 days;24 mo;100 bps;20%;$1.2B;July 01, 2023;A;Concentrated book — top 5 = 60%.
Orion Associates;Macro;monthly;30 days;12 mo;150 bps;10%;;01/01/2015;C;"Seasoned team; stable AUM."
Northgate Macro Fund;Market Neutral;annual;15 days;24 mo;200 bps;15%;$3.5B;01-Jan-2024;C;
Juniper Investments;CTA;quarterly;15 days;24 mo;250 bps;15%;$20B;01 Jan 2023;C;AUM withheld pending NDA.
Delta Associates;Multi-Strat;semi annual;120 days;12 mo;125 bps;15%;$5M;July 01, 2024;C;"Seasoned team; stable AUM."
Yarrow Capital;CTA;annual;;36 mo;150 bps;0%;$25M;01/01/2024;B;Illiquid underlying positions.
Vantage Associates;CTA;daily;30 days;12 mo;200 bps;20%;$450M;01-Jan-2023;C;"Uses ""soft"" gates in stress."
Harbour Investments;Market Neutral;weekly;60 days;12 mo;100 bps;10%;$1.2B;01 Jul 2024;B;Concentrated book — top 5 = 60%.
Xenon Partners;L/S Equity;monthly;180 days;0 mo;175 bps;0%;$85M;January 01, 2024;C;"Seasoned team; stable AUM."
Ardent Holdings;Multi-Strat;quarterly;5 days;12 mo;250 bps;10%;$85M;01/01/2020;C;"Seasoned team; stable AUM."
Cedar Fund;Credit;semi annual;90 days;0 mo;125 bps;20%;$450M;01-Jul-2024;B;Short track record.
Delta Partners;Multi-Strat;daily;30 days;12 mo;250 bps;15%;$150M;01 Jan 2018;C;Concentrated book — top 5 = 60%.
Lodestar Group;Credit;weekly;15 days;0 mo;200 bps;17.5%;;January 01, 2020;B;Key-person risk on founder.
Delta Strategies;Market Neutral;quarterly;15 days;12 mo;125 bps;0%;$25M;01/01/2022;C;New PM hired 2023.
Summit Holdings;Fixed Income;semi annual;180 days;12 mo;150 bps;20%;$20B;01-Jan-2020;C;Concentrated book — top 5 = 60%.
Umbra Holdings;Credit;weekly;15 days;6 mo;200 bps;10%;$20B;01 Jan 2022;A;Key-person risk on founder.
Alpha Fund;Macro;annual;45 days;24 mo;175 bps;10%;$20B;January 01, 2018;B;
Harbour Holdings;Fixed Income;weekly;5 days;6 mo;50 bps;20%;$85M;01/01/2020;C;
Brightwater Holdings;Event-Driven;monthly;;24 mo;175 bps;30%;$1.2B;01-Jan-2024;A;
Cobalt Macro Fund;CTA;annual;45 days;0 mo;50 bps;0%;$1.2B;01 Jan 2023;A;Key-person risk on founder.
Juniper Partners;Market Neutral;semi annual;60 days;24 mo;175 bps;20%;$85M;January 01, 2015;B;Concentrated book — top 5 = 60%.
Quartz Associates;Macro;annual;45 days;0 mo;250 bps;10%;$5M;07/01/2023;A;Illiquid underlying positions.
Quartz Capital;Other;quarterly;30 days;0 mo;125 bps;30%;$1.2B;01-Jan-2018;C;Concentrated book — top 5 = 60%.
Drawbridge Asset Management;Multi-Strat;quarterly;5 days;36 mo;100 bps;0%;;01 Jan 2018;B;"Seasoned team; stable AUM."
Ironwood Partners;L/S Equity;annual;5 days;24 mo;125 bps;10%;$12B;July 01, 2024;B;AUM withheld pending NDA.
Umbra Fund;Credit;weekly;90 days;0 mo;100 bps;17.5%;$150M;01/01/2015;C;Key-person risk on founder.
Cedar Global;Market Neutral;weekly;15 days;6 mo;200 bps;15%;$150M;01-Jul-2024;A;Concentrated book — top 5 = 60%.
Echo Asset Management;CTA;monthly;45 days;6 mo;100 bps;17.5%;$12B;01 Jul 2024;C;
Orion Management;CTA;daily;45 days;0 mo;250 bps;15%;$5M;January 01, 2022;C;Short track record.
Foxhill Credit Opportunities;CTA;quarterly;45 days;24 mo;50 bps;30%;$3.5B;01/01/2020;A;"Uses ""soft"" gates in stress."
Ardent Management;CTA;monthly;180 days;12 mo;150 bps;17.5%;$12B;01-Jan-2020;A;AUM withheld pending NDA.
Lodestar Asset Management;Other;semi annual;;24 mo;175 bps;0%;$20B;01 Jan 2020;C;
Cedar Strategies;Macro;annual;120 days;12 mo;100 bps;15%;$150M;January 01, 2023;A;AUM withheld pending NDA.
Vantage Group;Macro;semi annual;15 days;6 mo;150 bps;0%;$20B;01/01/2023;A;
Echo Investments;L/S Equity;monthly;90 days;36 mo;250 bps;30%;;01-Jul-2023;B;Key-person risk on founder.
Granite Holdings;Macro;quarterly;0 days;0 mo;250 bps;20%;$150M;01 Jan 2021;A;"Seasoned team; stable AUM."
Summit Capital;Credit;annual;0 days;24 mo;50 bps;10%;$12B;January 01, 2021;C;AUM withheld pending NDA.
Xenon Holdings;L/S Equity;annual;5 days;24 mo;175 bps;15%;$450M;07/01/2024;C;"Seasoned team; stable AUM."
Meridian Management;CTA;quarterly;90 days;36 mo;150 bps;15%;$450M;01-Jul-2023;C;New PM hired 2023.
Northgate Fund;Market Neutral;daily;5 days;6 mo;100 bps;10%;$85M;01 Jan 2023;A;AUM withheld pending NDA.
Echo Fund;Multi-Strat;daily;180 days;24 mo;50 bps;20%;$3.5B;January 01, 2021;B;"Seasoned team; stable AUM."
Umbra Investments;Macro;semi annual;120 days;0 mo;250 bps;10%;$1.2B;07/01/2024;A;"Seasoned team; stable AUM."
Riverstone Partners;CTA;monthly;120 days;12 mo;50 bps;30%;$25M;01-Jan-2015;C;"Seasoned team; stable AUM."
Cobalt Investments;CTA;weekly;180 days;6 mo;125 bps;15%;$1.2B;01 Jan 2022;B;"Uses ""soft"" gates in stress."
Everest Macro Fund;Credit;quarterly;;12 mo;250 bps;0%;$1.2B;January 01, 2015;C;"Seasoned team; stable AUM."
Pinnacle Investments;Credit;semi annual;0 days;36 mo;175 bps;10%;;01/01/2024;A;"Seasoned team; stable AUM."
Kestrel Associates;CTA;weekly;180 days;12 mo;125 bps;0%;$150M;01-Jul-2024;B;AUM withheld pending NDA.
Fjord Asset Management;Market Neutral;monthly;5 days;6 mo;50 bps;17.5%;$450M;01 Jan 2024;C;Short track record.
Tideline Macro Fund;Multi-Strat;annual;60 days;24 mo;200 bps;15%;$20B;January 01, 2015;C;AUM withheld pending NDA.
Brightwater Investments;Market Neutral;daily;90 days;0 mo;50 bps;0%;$3.5B;01/01/2015;B;
Xenon Group;Credit;semi annual;120 days;0 mo;250 bps;30%;$450M;01-Jan-2021;A;Short track record.
Meridian Strategies;Relative Value;annual;90 days;12 mo;50 bps;30%;$20B;01 Jan 2020;C;
Brightwater Strategies;Macro;quarterly;0 days;0 mo;250 bps;20%;$450M;January 01, 2024;A;Concentrated book — top 5 = 60%.
Drawbridge Holdings;L/S Equity;weekly;0 days;24 mo;250 bps;0%;$450M;01/01/2022;B;"Seasoned team; stable AUM."
Alpha Partners;Market Neutral;monthly;90 days;12 mo;200 bps;0%;$20B;01-Jan-2024;A;AUM withheld pending NDA.
Xenon Strategies;Event-Driven;weekly;120 days;6 mo;150 bps;0%;$85M;01 Jul 2023;C;"Uses ""soft"" gates in stress."
Ironwood Fund;Event-Driven;monthly;90 days;0 mo;175 bps;17.5%;;July 01, 2023;C;Concentrated book — top 5 = 60%.
Pinnacle Macro Fund;Macro;weekly;;0 mo;175 bps;15%;$12B;01/01/2023;C;New PM hired 2023.
Drawbridge Investments;Multi-Strat;annual;45 days;6 mo;175 bps;15%;$3.5B;01-Jan-2023;B;Key-person risk on founder.
Harbour Capital;Event-Driven;semi annual;30 days;12 mo;200 bps;17.5%;$5M;01 Jan 2020;A;AUM withheld pending NDA.
Granite Global;CTA;annual;30 days;6 mo;125 bps;15%;$85M;January 01, 2022;C;
Lodestar Credit Opportunities;Credit;quarterly;45 days;0 mo;175 bps;10%;$1.2B;01/01/2015;A;AUM withheld pending NDA.
Beacon Capital;Relative Value;quarterly;120 days;12 mo;175 bps;30%;$12B;01-Jan-2024;A;Key-person risk on founder.
Harbour Asset Management;Relative Value;quarterly;0 days;12 mo;125 bps;0%;$85M;01 Jan 2018;B;AUM withheld pending NDA.
Ardent Group;Multi-Strat;semi annual;5 days;24 mo;50 bps;0%;$150M;January 01, 2021;C;AUM withheld pending NDA.
Summit Advisors;Event-Driven;monthly;15 days;36 mo;200 bps;10%;$20B;01/01/2021;C;New PM hired 2023.
Alpha Holdings;Market Neutral;weekly;0 days;36 mo;125 bps;17.5%;$450M;01-Jan-2020;B;Short track record.
Cedar Asset Management;Credit;weekly;90 days;0 mo;150 bps;0%;;01 Jan 2024;C;AUM withheld pending NDA.
Lodestar Management;Fixed Income;daily;15 days;6 mo;175 bps;17.5%;$3.5B;January 01, 2024;C;Concentrated book — top 5 = 60%.
Kestrel Credit Opportunities;Macro;annual;180 days;12 mo;200 bps;17.5%;$3.5B;07/01/2024;A;"Seasoned team; stable AUM."
Granite Capital;Relative Value;annual;;24 mo;50 bps;17.5%;$85M;01-Jan-2018;C;Key-person risk on founder.
Vantage Management;Market Neutral;monthly;5 days;24 mo;50 bps;17.5%;$5M;01 Jan 2023;B;New PM hired 2023.
Summit Partners;Macro;semi annual;60 days;12 mo;125 bps;17.5%;$12B;July 01, 2024;A;"Uses ""soft"" gates in stress."
Umbra Global;Multi-Strat;monthly;90 days;0 mo;200 bps;30%;$5M;01/01/2024;C;Short track record.
Westfield Strategies;Credit;annual;90 days;24 mo;250 bps;10%;$150M;01-Jan-2018;B;"Seasoned team; stable AUM."
Northgate Management;Credit;monthly;5 days;6 mo;250 bps;17.5%;$3.5B;01 Jul 2024;B;Key-person risk on founder.
Zephyr Credit Opportunities;Fixed Income;daily;60 days;6 mo;250 bps;10%;$25M;January 01, 2021;B;
Westfield Group;Macro;annual;30 days;0 mo;200 bps;15%;$5M;01/01/2018;B;"Uses ""soft"" gates in stress."
Riverstone Capital;Fixed Income;daily;180 days;0 mo;100 bps;17.5%;;01-Jan-2020;A;Illiquid underlying positions.
Everest Associates;Multi-Strat;monthly;30 days;6 mo;175 bps;0%;$5M;01 Jan 2018;A;AUM withheld pending NDA.
Echo Group;L/S Equity;weekly;30 days;12 mo;100 bps;10%;$20B;July 01, 2024;C;"Seasoned team; stable AUM."
Pinnacle Group;L/S Equity;daily;90 days;36 mo;100 bps;30%;$85M;01/01/2021;B;Short track record.
Zephyr Holdings;Other;quarterly;15 days;0 mo;50 bps;10%;$3.5B;01-Jan-2023;B;"Seasoned team; stable AUM."
Brightwater Asset Management;Relative Value;monthly;;0 mo;250 bps;0%;$1.2B;01 Jan 2020;C;Illiquid underlying positions.
Summit Asset Management;Multi-Strat;weekly;90 days;24 mo;150 bps;17.5%;$20B;January 01, 2015;A;"Seasoned team; stable AUM."
Kestrel Global;L/S Equity;semi annual;15 days;36 mo;175 bps;20%;$5M;01/01/2023;B;Short track record.
Everest Global;Other;semi annual;120 days;12 mo;175 bps;10%;$85M;01-Jan-2021;C;Illiquid underlying positions.
Westfield Fund;Credit;daily;120 days;36 mo;125 bps;10%;$25M;01 Jan 2022;C;Key-person risk on founder.
Tideline Capital;Relative Value;semi annual;45 days;6 mo;100 bps;10%;$150M;January 01, 2022;B;"Uses ""soft"" gates in stress."
Halcyon Partners;L/S Equity;weekly;0 days;0 mo;175 bps;17.5%;;07/01/2024;C;AUM withheld pending NDA.
Alpha Management;Other;monthly;45 days;0 mo;50 bps;17.5%;$25M;01-Jan-2021;A;Illiquid underlying positions.
Alpha Associates;Macro;quarterly;120 days;24 mo;125 bps;15%;$3.5B;01 Jan 2015;A;AUM withheld pending NDA.
Tideline Investments;Other;semi annual;30 days;12 mo;150 bps;20%;$450M;January 01, 2023;B;
Lodestar Macro Fund;L/S Equity;annual;180 days;24 mo;125 bps;17.5%;$3.5B;01/01/2023;C;"Uses ""soft"" gates in stress."
Riverstone Holdings;Relative Value;annual;15 days;12 mo;125 bps;17.5%;$3.5B;01-Jul-2023;A;Short track record.
Tideline Partners;Other;annual;5 days;0 mo;200 bps;10%;$85M;01 Jul 2024;B;Illiquid underlying positions.
Kestrel Capital;CTA;annual;;12 mo;250 bps;17.5%;$20B;July 01, 2024;C;Short track record.
Cedar Capital;Macro;weekly;0 days;0 mo;125 bps;17.5%;$25M;07/01/2024;B;
Echo Associates;Multi-Strat;monthly;5 days;12 mo;125 bps;0%;$150M;01-Jan-2020;B;"Seasoned team; stable AUM."
