Account|Approach|Redemption Terms|Notice Period|Lock-up|Base Fee|Carry|AUM|Vintage|Remarks
Northgate Fund|Market Neutral|Daily|5|6|1|10|$85,000,000|January 01, 2023|AUM withheld pending NDA.
Echo Fund|Multi-Strategy|Daily|180|24|0.5|20|$3,500,000,000|January 01, 2021|Seasoned team; stable AUM.
Umbra Investments|Global Macro|Semi-Annual|120|0|2.5|10|$1,200,000,000|July 01, 2024|Seasoned team; stable AUM.
Riverstone Partners|CTA / Managed Futures|Monthly|120|12|0.5|30|$25,000,000|January 01, 2015|Seasoned team; stable AUM.
Cobalt Investments|CTA / Managed Futures|Weekly|180|6|1.25|15|$1,200,000,000|January 01, 2022|"Uses ""soft"" gates in stress."
Everest Macro Fund|Credit|Quarterly|90|12|2.5|0|$1,200,000,000|January 01, 2015|Seasoned team; stable AUM.
Pinnacle Investments|Credit|Semi-Annual|0|36|1.75|10|$12,000,000,000|January 01, 2024|Seasoned team; stable AUM.
Kestrel Associates|CTA / Managed Futures|Weekly|180|12|1.25|0|$150,000,000|July 01, 2024|AUM withheld pending NDA.
Fjord Asset Management|Market Neutral|Monthly|5|6|0.5|17.5|$450,000,000|January 01, 2024|Short track record.
Tideline Macro Fund|Multi-Strategy|Annual|60|24|2|15|$20,000,000,000|January 01, 2015|AUM withheld pending NDA.
Brightwater Investments|Market Neutral|Daily|90|0|0.5|0|$3,500,000,000|January 01, 2015|
Xenon Group|Credit|Semi-Annual|120|0|2.5|30|$450,000,000|January 01, 2021|Short track record.
Meridian Strategies|Relative Value|Annual|90|12|0.5|30|$20,000,000,000|January 01, 2020|
Brightwater Strategies|Global Macro|Quarterly|0|0|2.5|20|$450,000,000|January 01, 2024|Concentrated book — top 5 = 60%.
Drawbridge Holdings|L/S Equity|Weekly|0|24|2.5|0|$450,000,000|January 01, 2022|Seasoned team; stable AUM.
Alpha Partners|Market Neutral|Monthly|90|12|2|0|$20,000,000,000|January 01, 2024|AUM withheld pending NDA.
Xenon Strategies|Event Driven|Weekly|120|6|1.5|0|$85,000,000|July 01, 2023|"Uses ""soft"" gates in stress."
Ironwood Fund|Event Driven|Monthly|90|0|1.75|17.5|$5,000,000|July 01, 2023|Concentrated book — top 5 = 60%.
Pinnacle Macro Fund|Global Macro|Weekly|15|0|1.75|15|$12,000,000,000|January 01, 2023|New PM hired 2023.
Drawbridge Investments|Multi-Strategy|Annual|45|6|1.75|15|$3,500,000,000|January 01, 2023|Key-person risk on founder.
Harbour Capital|Event Driven|Semi-Annual|30|12|2|17.5|$5,000,000|January 01, 2020|AUM withheld pending NDA.
Granite Global|CTA / Managed Futures|Annual|30|6|1.25|15|$85,000,000|January 01, 2022|
Lodestar Credit Opportunities|Credit|Quarterly|45|0|1.75|10|$1,200,000,000|January 01, 2015|AUM withheld pending NDA.
Beacon Capital|Relative Value|Quarterly|120|12|1.75|30|$12,000,000,000|January 01, 2024|Key-person risk on founder.
Harbour Asset Management|Relative Value|Quarterly|0|12|1.25|0|$85,000,000|January 01, 2018|AUM withheld pending NDA.
Ardent Group|Multi-Strategy|Semi-Annual|5|24|0.5|0|$150,000,000|January 01, 2021|AUM withheld pending NDA.
Summit Advisors|Event Driven|Monthly|15|36|2|10|$20,000,000,000|January 01, 2021|New PM hired 2023.
Alpha Holdings|Market Neutral|Weekly|0|36|1.25|17.5|$450,000,000|January 01, 2020|Short track record.
Cedar Asset Management|Credit|Weekly|90|0|1.5|0|$3,500,000,000|January 01, 2024|AUM withheld pending NDA.
Lodestar Management|Fixed Income|Daily|15|6|1.75|17.5|$3,500,000,000|January 01, 2024|Concentrated book — top 5 = 60%.
Kestrel Credit Opportunities|Global Macro|Annual|180|12|2|17.5|$3,500,000,000|July 01, 2024|Seasoned team; stable AUM.
Granite Capital|Relative Value|Annual|0|24|0.5|17.5|$85,000,000|January 01, 2018|Key-person risk on founder.
Vantage Management|Market Neutral|Monthly|5|24|0.5|17.5|$5,000,000|January 01, 2023|New PM hired 2023.
Summit Partners|Global Macro|Semi-Annual|60|12|1.25|17.5|$12,000,000,000|July 01, 2024|"Uses ""soft"" gates in stress."
Umbra Global|Multi-Strategy|Monthly|90|0|2|30|$5,000,000|January 01, 2024|Short track record.
Westfield Strategies|Credit|Annual|90|24|2.5|10|$150,000,000|January 01, 2018|Seasoned team; stable AUM.
Northgate Management|Credit|Monthly|5|6|2.5|17.5|$3,500,000,000|July 01, 2024|Key-person risk on founder.
Zephyr Credit Opportunities|Fixed Income|Daily|60|6|2.5|10|$25,000,000|January 01, 2021|
Westfield Group|Global Macro|Annual|30|0|2|15|$5,000,000|January 01, 2018|"Uses ""soft"" gates in stress."
Riverstone Capital|Fixed Income|Daily|180|0|1|17.5|$3,500,000,000|January 01, 2020|Illiquid underlying positions.
Everest Associates|Multi-Strategy|Monthly|30|6|1.75|0|$5,000,000|January 01, 2018|AUM withheld pending NDA.
Echo Group|L/S Equity|Weekly|30|12|1|10|$20,000,000,000|July 01, 2024|Seasoned team; stable AUM.
Pinnacle Group|L/S Equity|Daily|90|36|1|30|$85,000,000|January 01, 2021|Short track record.
Zephyr Holdings|Other|Quarterly|15|0|0.5|10|$3,500,000,000|January 01, 2023|Seasoned team; stable AUM.
Brightwater Asset Management|Relative Value|Monthly|120|0|2.5|0|$1,200,000,000|January 01, 2020|Illiquid underlying positions.
Summit Asset Management|Multi-Strategy|Weekly|90|24|1.5|17.5|$20,000,000,000|January 01, 2015|Seasoned team; stable AUM.
Kestrel Global|L/S Equity|Semi-Annual|15|36|1.75|20|$5,000,000|January 01, 2023|Short track record.
Everest Global|Other|Semi-Annual|120|12|1.75|10|$85,000,000|January 01, 2021|Illiquid underlying positions.
Westfield Fund|Credit|Daily|120|36|1.25|10|$25,000,000|January 01, 2022|Key-person risk on founder.
Tideline Capital|Relative Value|Semi-Annual|45|6|1|10|$150,000,000|January 01, 2022|"Uses ""soft"" gates in stress."
Halcyon Partners|L/S Equity|Weekly|0|0|1.75|17.5|$5,000,000|July 01, 2024|AUM withheld pending NDA.
Alpha Management|Other|Monthly|45|0|0.5|17.5|$25,000,000|January 01, 2021|Illiquid underlying positions.
Alpha Associates|Global Macro|Quarterly|120|24|1.25|15|$3,500,000,000|January 01, 2015|AUM withheld pending NDA.
Tideline Investments|Other|Semi-Annual|30|12|1.5|20|$450,000,000|January 01, 2023|
Lodestar Macro Fund|L/S Equity|Annual|180|24|1.25|17.5|$3,500,000,000|January 01, 2023|"Uses ""soft"" gates in stress."
Riverstone Holdings|Relative Value|Annual|15|12|1.25|17.5|$3,500,000,000|July 01, 2023|Short track record.
Tideline Partners|Other|Annual|5|0|2|10|$85,000,000|July 01, 2024|Illiquid underlying positions.
Kestrel Capital|CTA / Managed Futures|Annual|120|12|2.5|17.5|$20,000,000,000|July 01, 2024|Short track record.
Cedar Capital|Global Macro|Weekly|0|0|1.25|17.5|$25,000,000|July 01, 2024|
Echo Associates|Multi-Strategy|Monthly|5|12|1.25|0|$150,000,000|January 01, 2020|Seasoned team; stable AUM.
